index,Series ID,Year,Series,Sub-Series,Type,Average Hours
352,TUU10101AA01006663,2009,Leisure and Sports,"Sports, Exercise, and Recreation",Men,0.44
353,TUU10101AA01006687,2009,Leisure and Sports,"Sports, Exercise, and Recreation",Women,0.23
354,TUU10101AA01014773,2009,Leisure and Sports,"Sports, Exercise, and Recreation",Total,0.23
355,TUU10101AA01014852,2009,Leisure and Sports,"Sports, Exercise, and Recreation",Men,0.23
356,TUU10101AA01014931,2009,Leisure and Sports,"Sports, Exercise, and Recreation",Women,0.22
357,TUU10101AA01007522,2009,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Total,0.11
358,TUU10101AA01007546,2009,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Men,0.07
359,TUU10101AA01007570,2009,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Women,0.15
360,TUU10101AA01001936,2009,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Total,0.02
361,TUU10101AA01001960,2009,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Men,0.01
362,TUU10101AA01001984,2009,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Women,0.03
363,TUU10101AA01002008,2009,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Total,0.06
364,TUU10101AA01002032,2009,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Men,0.05
365,TUU10101AA01002056,2009,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Women,0.07
366,TUU10101AA01015925,2009,"Other Activities, Not Elsewhere Classified","Other Activities, Not Elsewhere Classified",Total,0.26
367,TUU10101AA01016038,2009,"Other Activities, Not Elsewhere Classified","Other Activities, Not Elsewhere Classified",Men,0.24
368,TUU10101AA01016151,2009,"Other Activities, Not Elsewhere Classified","Other Activities, Not Elsewhere Classified",Women,0.31
369,TUU10101AA01000247,2010,Personal Care,Sleeping,Total,8.67
370,TUU10101AA01000326,2010,Personal Care,Sleeping,Men,8.56
371,TUU10101AA01000405,2010,Personal Care,Sleeping,Women,8.76
372,TUU10101AA01000484,2010,Personal Care,Grooming,Total,0.69
373,TUU10101AA01000563,2010,Personal Care,Grooming,Men,0.58
374,TUU10101AA01000642,2010,Personal Care,Grooming,Women,0.79
375,TUU10101AA01000721,2010,Personal Care,Other,Total,0.09
376,TUU10101AA01000745,2010,Personal Care,Other,Men,0.08
377,TUU10101AA01000769,2010,Personal Care,Other,Women,0.1
378,TUU10101AA01000793,2010,Personal Care,Other,Total,0.01
379,TUU10101AA01000817,2010,Personal Care,Other,Men,0.02
380,TUU10101AA01000841,2010,Personal Care,Other,Women,0.01
381,TUU10101AA01007594,2010,Personal Care,Other,Total,0.02
382,TUU10101AA01007618,2010,Personal Care,Other,Men,0.02
383,TUU10101AA01007642,2010,Personal Care,Other,Women,0.01
384,TUU10101AA01013237,2010,Eating and Drinking,Eating and Drinking,Total,1.25
385,TUU10101AA01013353,2010,Eating and Drinking,Eating and Drinking,Men,1.29
386,TUU10101AA01013469,2010,Eating and Drinking,Eating and Drinking,Women,1.21
387,TUU10101AA01047346,2010,Household Activities,Housework,Total,0.36
388,TUU10101AA01047409,2010,Household Activities,Housework,Men,0.18
389,TUU10101AA01047472,2010,Household Activities,Housework,Women,0.53
390,TUU10101AA01047535,2010,Household Activities,Housework,Total,0.17
391,TUU10101AA01047598,2010,Household Activities,Housework,Men,0.07
392,TUU10101AA01047661,2010,Household Activities,Housework,Women,0.27
393,TUU10101AA01047724,2010,Household Activities,Housework,Total,0.02
394,TUU10101AA01047787,2010,Household Activities,Housework,Men,0.01
395,TUU10101AA01047850,2010,Household Activities,Housework,Women,0.03
396,TUU10101AA01001102,2010,Household Activities,Food Preparation and Cleanup,Total,0.56
397,TUU10101AA01001181,2010,Household Activities,Food Preparation and Cleanup,Men,0.32
398,TUU10101AA01001260,2010,Household Activities,Food Preparation and Cleanup,Women,0.79
399,TUU10101AA01001483,2010,Household Activities,Household Activities,Total,0.21
400,TUU10101AA01001562,2010,Household Activities,Household Activities,Men,0.31
401,TUU10101AA01001641,2010,Household Activities,Household Activities,Women,0.12
402,TUU10101AA01009933,2010,Household Activities,Household Activities,Total,0.12
403,TUU10101AA01010012,2010,Household Activities,Household Activities,Men,0.1
